model_id,attack_id,lambda,risk,risk_lower,risk_upper,aurc,delta_r,lambda_star,n_prompts
tulu2-7b-base,gcg,0,0.0,0.0,0.0,8.67,0.98,1,50
tulu2-7b-base,gcg,1,0.68,0.5600000023841858,0.800000011920929,8.67,0.98,1,50
tulu2-7b-base,gcg,3,0.92,0.8399999737739563,0.9800000190734863,8.67,0.98,1,50
tulu2-7b-base,gcg,5,0.96,0.8999999761581421,1.0,8.67,0.98,1,50
tulu2-7b-base,gcg,10,0.98,0.9399999976158142,1.0,8.67,0.98,1,50
tulu2-7b-base,jailbroken,0,0.0,0.0,0.0,9.469999999999999,1.0,1,50
tulu2-7b-base,jailbroken,1,0.98,0.9399999976158142,1.0,9.469999999999999,1.0,1,50
tulu2-7b-base,jailbroken,3,1.0,1.0,1.0,9.469999999999999,1.0,1,50
tulu2-7b-base,jailbroken,5,1.0,1.0,1.0,9.469999999999999,1.0,1,50
tulu2-7b-base,jailbroken,10,1.0,1.0,1.0,9.469999999999999,1.0,1,50
tulu2-7b-base,pair,0,0.0,0.0,0.0,9.1,1.0,1,50
tulu2-7b-base,pair,1,0.76,0.6399999856948853,0.8600000143051147,9.1,1.0,1,50
tulu2-7b-base,pair,3,0.98,0.9399999976158142,1.0,9.1,1.0,1,50
tulu2-7b-base,pair,5,1.0,1.0,1.0,9.1,1.0,1,50
tulu2-7b-base,pair,10,1.0,1.0,1.0,9.1,1.0,1,50
tulu2-7b-dpo,gcg,0,0.0,0.0,0.0,4.53,0.64,5,50
tulu2-7b-dpo,gcg,1,0.16,0.05999999865889549,0.25999999046325684,4.53,0.64,5,50
tulu2-7b-dpo,gcg,3,0.4,0.25999999046325684,0.5400000214576721,4.53,0.64,5,50
tulu2-7b-dpo,gcg,5,0.54,0.41949998736381533,0.6800000071525574,4.53,0.64,5,50
tulu2-7b-dpo,gcg,10,0.64,0.5,0.7799999713897705,4.53,0.64,5,50
tulu2-7b-dpo,jailbroken,0,0.0,0.0,0.0,8.07,1.0,3,50
tulu2-7b-dpo,jailbroken,1,0.36,0.2199999988079071,0.5,8.07,1.0,3,50
tulu2-7b-dpo,jailbroken,3,0.8,0.6800000071525574,0.8999999761581421,8.07,1.0,3,50
tulu2-7b-dpo,jailbroken,5,0.98,0.9399999976158142,1.0,8.07,1.0,3,50
tulu2-7b-dpo,jailbroken,10,1.0,1.0,1.0,8.07,1.0,3,50
tulu2-7b-dpo,pair,0,0.0,0.0,0.0,8.28,1.0,3,50
tulu2-7b-dpo,pair,1,0.32,0.20000000298023224,0.4399999976158142,8.28,1.0,3,50
tulu2-7b-dpo,pair,3,0.9,0.800000011920929,0.9800000190734863,8.28,1.0,3,50
tulu2-7b-dpo,pair,5,1.0,1.0,1.0,8.28,1.0,3,50
tulu2-7b-dpo,pair,10,1.0,1.0,1.0,8.28,1.0,3,50
tulu2-7b-sft,gcg,0,0.0,0.0,0.0,3.52,0.54,10,50
tulu2-7b-sft,gcg,1,0.16,0.05999999865889549,0.25999999046325684,3.52,0.54,10,50
tulu2-7b-sft,gcg,3,0.3,0.18000000715255737,0.4399999976158142,3.52,0.54,10,50
tulu2-7b-sft,gcg,5,0.38,0.25999999046325684,0.5199999809265137,3.52,0.54,10,50
tulu2-7b-sft,gcg,10,0.54,0.41999998688697815,0.6800000071525574,3.52,0.54,10,50
tulu2-7b-sft,jailbroken,0,0.0,0.0,0.0,8.72,1.0,1,50
tulu2-7b-sft,jailbroken,1,0.58,0.4399999976158142,0.699999988079071,8.72,1.0,1,50
tulu2-7b-sft,jailbroken,3,0.96,0.8999999761581421,1.0,8.72,1.0,1,50
tulu2-7b-sft,jailbroken,5,0.98,0.9399999976158142,1.0,8.72,1.0,1,50
tulu2-7b-sft,jailbroken,10,1.0,1.0,1.0,8.72,1.0,1,50
tulu2-7b-sft,pair,0,0.0,0.0,0.0,8.05,1.0,3,50
tulu2-7b-sft,pair,1,0.26,0.14000000059604645,0.3799999952316284,8.05,1.0,3,50
tulu2-7b-sft,pair,3,0.9,0.8199999928474426,0.9800000190734863,8.05,1.0,3,50
tulu2-7b-sft,pair,5,0.96,0.8999999761581421,1.0,8.05,1.0,3,50
tulu2-7b-sft,pair,10,1.0,1.0,1.0,8.05,1.0,3,50
