model_id,attack_id,lambda,risk,risk_lower,risk_upper,aurc,delta_r,lambda_star,n_prompts
tulu3-8b-rlvr_seed100,gcg,0,0.0,0.0,0.0,2.5975,0.505,10,200
tulu3-8b-rlvr_seed100,gcg,1,0.04,0.014999999664723873,0.07000000029802322,2.5975,0.505,10,200
tulu3-8b-rlvr_seed100,gcg,2,0.095,0.054999999701976776,0.14000000059604645,2.5975,0.505,10,200
tulu3-8b-rlvr_seed100,gcg,4,0.18,0.12999999523162842,0.23499999940395355,2.5975,0.505,10,200
tulu3-8b-rlvr_seed100,gcg,6,0.35,0.28487499654293064,0.41499999165534973,2.5975,0.505,10,200
tulu3-8b-rlvr_seed100,gcg,8,0.425,0.35499998927116394,0.4950000047683716,2.5975,0.505,10,200
tulu3-8b-rlvr_seed100,gcg,10,0.505,0.4350000023841858,0.574999988079071,2.5975,0.505,10,200
tulu3-8b-rlvr_seed100,jailbroken,0,0.0,0.0,0.0,6.275,0.865,4,200
tulu3-8b-rlvr_seed100,jailbroken,1,0.21,0.1550000011920929,0.26499998569488525,6.275,0.865,4,200
tulu3-8b-rlvr_seed100,jailbroken,2,0.4,0.33500000834465027,0.4699999988079071,6.275,0.865,4,200
tulu3-8b-rlvr_seed100,jailbroken,4,0.635,0.5748749881982803,0.699999988079071,6.275,0.865,4,200
tulu3-8b-rlvr_seed100,jailbroken,6,0.805,0.75,0.8600000143051147,6.275,0.865,4,200
tulu3-8b-rlvr_seed100,jailbroken,8,0.86,0.8149999976158142,0.9049999713897705,6.275,0.865,4,200
tulu3-8b-rlvr_seed100,jailbroken,10,0.865,0.8149999976158142,0.9100000262260437,6.275,0.865,4,200
tulu3-8b-rlvr_seed100,pair,0,0.0,0.0,0.0,5.08,0.795,4,200
tulu3-8b-rlvr_seed100,pair,1,0.04,0.014999999664723873,0.07000000029802322,5.08,0.795,4,200
tulu3-8b-rlvr_seed100,pair,2,0.23,0.17499999701976776,0.29012499153614035,5.08,0.795,4,200
tulu3-8b-rlvr_seed100,pair,4,0.51,0.4399999976158142,0.574999988079071,5.08,0.795,4,200
tulu3-8b-rlvr_seed100,pair,6,0.68,0.6150000095367432,0.75,5.08,0.795,4,200
tulu3-8b-rlvr_seed100,pair,8,0.76,0.6949999928474426,0.8201249927282332,5.08,0.795,4,200
tulu3-8b-rlvr_seed100,pair,10,0.795,0.7350000143051147,0.8500000238418579,5.08,0.795,4,200
tulu3-8b-rlvr_seed123,gcg,0,0.0,0.0,0.0,2.9825,0.565,10,200
tulu3-8b-rlvr_seed123,gcg,1,0.03,0.009999999776482582,0.054999999701976776,2.9825,0.565,10,200
tulu3-8b-rlvr_seed123,gcg,2,0.125,0.07999999821186066,0.17499999701976776,2.9825,0.565,10,200
tulu3-8b-rlvr_seed123,gcg,4,0.25,0.1899999976158142,0.3100000023841858,2.9825,0.565,10,200
tulu3-8b-rlvr_seed123,gcg,6,0.365,0.30000001192092896,0.4300000071525574,2.9825,0.565,10,200
tulu3-8b-rlvr_seed123,gcg,8,0.485,0.41499999165534973,0.550000011920929,2.9825,0.565,10,200
tulu3-8b-rlvr_seed123,gcg,10,0.565,0.5,0.6299999952316284,2.9825,0.565,10,200
tulu3-8b-rlvr_seed123,jailbroken,0,0.0,0.0,0.0,6.4725,0.89,4,200
tulu3-8b-rlvr_seed123,jailbroken,1,0.27,0.2150000035762787,0.33000001311302185,6.4725,0.89,4,200
tulu3-8b-rlvr_seed123,jailbroken,2,0.455,0.38499999046325684,0.5249999761581421,6.4725,0.89,4,200
tulu3-8b-rlvr_seed123,jailbroken,4,0.645,0.5848749786615371,0.7099999785423279,6.4725,0.89,4,200
tulu3-8b-rlvr_seed123,jailbroken,6,0.795,0.7350000143051147,0.8500000238418579,6.4725,0.89,4,200
tulu3-8b-rlvr_seed123,jailbroken,8,0.875,0.8299999833106995,0.9150000214576721,6.4725,0.89,4,200
tulu3-8b-rlvr_seed123,jailbroken,10,0.89,0.8450000286102295,0.9350000023841858,6.4725,0.89,4,200
tulu3-8b-rlvr_seed123,pair,0,0.0,0.0,0.0,4.7875,0.76,6,200
tulu3-8b-rlvr_seed123,pair,1,0.06,0.029999999329447746,0.0949999988079071,4.7875,0.76,6,200
tulu3-8b-rlvr_seed123,pair,2,0.245,0.1850000023841858,0.30000001192092896,4.7875,0.76,6,200
tulu3-8b-rlvr_seed123,pair,4,0.48,0.41499999165534973,0.5550000071525574,4.7875,0.76,6,200
tulu3-8b-rlvr_seed123,pair,6,0.615,0.550000011920929,0.6800000071525574,4.7875,0.76,6,200
tulu3-8b-rlvr_seed123,pair,8,0.705,0.6398749858140945,0.7649999856948853,4.7875,0.76,6,200
tulu3-8b-rlvr_seed123,pair,10,0.76,0.699999988079071,0.8151249974966048,4.7875,0.76,6,200
tulu3-8b-rlvr_seed1997,gcg,0,0.0,0.0,0.0,2.7275,0.53,10,200
tulu3-8b-rlvr_seed1997,gcg,1,0.025,0.004999999888241291,0.05000000074505806,2.7275,0.53,10,200
tulu3-8b-rlvr_seed1997,gcg,2,0.095,0.054999999701976776,0.14000000059604645,2.7275,0.53,10,200
tulu3-8b-rlvr_seed1997,gcg,4,0.225,0.16500000655651093,0.2800000011920929,2.7275,0.53,10,200
tulu3-8b-rlvr_seed1997,gcg,6,0.325,0.25999999046325684,0.38999998569488525,2.7275,0.53,10,200
tulu3-8b-rlvr_seed1997,gcg,8,0.465,0.39500001072883606,0.5301249727606773,2.7275,0.53,10,200
tulu3-8b-rlvr_seed1997,gcg,10,0.53,0.45500001311302185,0.5950000286102295,2.7275,0.53,10,200
