model_id,attack_id,lambda,risk,risk_lower,risk_upper,aurc,delta_r,lambda_star,n_prompts
tulu3-8b-base,gcg,0,0.0,0.0,0.0,9.315,1.0,1,200
tulu3-8b-base,gcg,1,0.89,0.8450000286102295,0.9300000071525574,9.315,1.0,1,200
tulu3-8b-base,gcg,3,0.99,0.9750000238418579,1.0,9.315,1.0,1,200
tulu3-8b-base,gcg,5,1.0,1.0,1.0,9.315,1.0,1,200
tulu3-8b-base,gcg,10,1.0,1.0,1.0,9.315,1.0,1,200
tulu3-8b-base,jailbroken,0,0.0,0.0,0.0,9.485,1.0,1,200
tulu3-8b-base,jailbroken,1,0.99,0.9750000238418579,1.0,9.485,1.0,1,200
tulu3-8b-base,jailbroken,3,1.0,1.0,1.0,9.485,1.0,1,200
tulu3-8b-base,jailbroken,5,1.0,1.0,1.0,9.485,1.0,1,200
tulu3-8b-base,jailbroken,10,1.0,1.0,1.0,9.485,1.0,1,200
tulu3-8b-base,pair,0,0.0,0.0,0.0,9.352500000000001,1.0,1,200
tulu3-8b-base,pair,1,0.92,0.8849999904632568,0.9549999833106995,9.352500000000001,1.0,1,200
tulu3-8b-base,pair,3,0.995,0.9850000143051147,1.0,9.352500000000001,1.0,1,200
tulu3-8b-base,pair,5,0.995,0.9850000143051147,1.0,9.352500000000001,1.0,1,200
tulu3-8b-base,pair,10,1.0,1.0,1.0,9.352500000000001,1.0,1,200
tulu3-8b-dpo,gcg,0,0.0,0.0,0.0,4.155,0.735,10,200
tulu3-8b-dpo,gcg,1,0.095,0.05999999865889549,0.13500000536441803,4.155,0.735,10,200
tulu3-8b-dpo,gcg,3,0.3,0.23999999463558197,0.36000001430511475,4.155,0.735,10,200
tulu3-8b-dpo,gcg,5,0.45,0.3799999952316284,0.5149999856948853,4.155,0.735,10,200
tulu3-8b-dpo,gcg,10,0.735,0.675000011920929,0.7951250165700912,4.155,0.735,10,200
tulu3-8b-dpo,jailbroken,0,0.0,0.0,0.0,5.2675,0.725,5,200
tulu3-8b-dpo,jailbroken,1,0.21,0.1550000011920929,0.26499998569488525,5.2675,0.725,5,200
tulu3-8b-dpo,jailbroken,3,0.485,0.4198749870061875,0.5550000071525574,5.2675,0.725,5,200
tulu3-8b-dpo,jailbroken,5,0.62,0.5550000071525574,0.6850000023841858,5.2675,0.725,5,200
tulu3-8b-dpo,jailbroken,10,0.725,0.6650000214576721,0.7850000262260437,5.2675,0.725,5,200
tulu3-8b-dpo,pair,0,0.0,0.0,0.0,6.3149999999999995,0.94,3,200
tulu3-8b-dpo,pair,1,0.05,0.019999999552965164,0.07999999821186066,6.3149999999999995,0.94,3,200
tulu3-8b-dpo,pair,3,0.545,0.48500001430511475,0.6150000095367432,6.3149999999999995,0.94,3,200
tulu3-8b-dpo,pair,5,0.8,0.7450000047683716,0.8550000190734863,6.3149999999999995,0.94,3,200
tulu3-8b-dpo,pair,10,0.94,0.9049999713897705,0.9700000286102295,6.3149999999999995,0.94,3,200
tulu3-8b-sft,gcg,0,0.0,0.0,0.0,1.585,0.345,,200
tulu3-8b-sft,gcg,1,0.03,0.009999999776482582,0.054999999701976776,1.585,0.345,,200
tulu3-8b-sft,gcg,3,0.085,0.05000000074505806,0.125,1.585,0.345,,200
tulu3-8b-sft,gcg,5,0.145,0.0949999988079071,0.19499999284744263,1.585,0.345,,200
tulu3-8b-sft,gcg,10,0.345,0.2800000011920929,0.4099999964237213,1.585,0.345,,200
tulu3-8b-sft,jailbroken,0,0.0,0.0,0.0,3.685,0.55,10,200
tulu3-8b-sft,jailbroken,1,0.05,0.02500000037252903,0.07999999821186066,3.685,0.55,10,200
tulu3-8b-sft,jailbroken,3,0.365,0.3048750072717667,0.430125007033348,3.685,0.55,10,200
tulu3-8b-sft,jailbroken,5,0.43,0.36000001430511475,0.5,3.685,0.55,10,200
tulu3-8b-sft,jailbroken,10,0.55,0.48500001430511475,0.6200000047683716,3.685,0.55,10,200
tulu3-8b-sft,pair,0,0.0,0.0,0.0,4.485,0.73,5,200
tulu3-8b-sft,pair,1,0.025,0.004999999888241291,0.05000000074505806,4.485,0.73,5,200
tulu3-8b-sft,pair,3,0.375,0.3100000023841858,0.44012499749660483,4.485,0.73,5,200
tulu3-8b-sft,pair,5,0.535,0.46000000834465027,0.6050000190734863,4.485,0.73,5,200
tulu3-8b-sft,pair,10,0.73,0.6600000262260437,0.7900000214576721,4.485,0.73,5,200
